id,collected_at,rate_date,series_key,series_label,rate,source
222,2026-06-13T20:30:40.272773,2026-04-20,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
471,2026-06-13T20:17:19.964186,2026-04-17,gov_bond_2y,Statsobligation 2 år,2.174,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
974,2026-06-13T20:30:40.567629,2026-04-17,gov_bond_5y,Statsobligation 5 år,2.399,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
221,2026-06-13T20:30:40.271626,2026-04-17,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
470,2026-06-13T20:17:19.962957,2026-04-16,gov_bond_2y,Statsobligation 2 år,2.245,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
973,2026-06-13T20:30:40.566528,2026-04-16,gov_bond_5y,Statsobligation 5 år,2.477,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
220,2026-06-13T20:30:40.270092,2026-04-16,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
469,2026-06-13T20:17:19.961639,2026-04-15,gov_bond_2y,Statsobligation 2 år,2.257,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
972,2026-06-13T20:30:40.565362,2026-04-15,gov_bond_5y,Statsobligation 5 år,2.474,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
219,2026-06-13T20:30:40.268998,2026-04-15,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
468,2026-06-13T20:17:19.960458,2026-04-14,gov_bond_2y,Statsobligation 2 år,2.289,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
971,2026-06-13T20:30:40.564175,2026-04-14,gov_bond_5y,Statsobligation 5 år,2.489,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
218,2026-06-13T20:30:40.267905,2026-04-14,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
467,2026-06-13T20:17:19.959299,2026-04-13,gov_bond_2y,Statsobligation 2 år,2.362,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
970,2026-06-13T20:30:40.563013,2026-04-13,gov_bond_5y,Statsobligation 5 år,2.549,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
217,2026-06-13T20:30:40.266778,2026-04-13,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
466,2026-06-13T20:17:19.958072,2026-04-10,gov_bond_2y,Statsobligation 2 år,2.316,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
969,2026-06-13T20:30:40.561888,2026-04-10,gov_bond_5y,Statsobligation 5 år,2.53,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
216,2026-06-13T20:30:40.265655,2026-04-10,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
465,2026-06-13T20:17:19.956876,2026-04-09,gov_bond_2y,Statsobligation 2 år,2.338,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
968,2026-06-13T20:30:40.560755,2026-04-09,gov_bond_5y,Statsobligation 5 år,2.532,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
215,2026-06-13T20:30:40.264532,2026-04-09,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
464,2026-06-13T20:17:19.955638,2026-04-08,gov_bond_2y,Statsobligation 2 år,2.307,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
967,2026-06-13T20:30:40.559620,2026-04-08,gov_bond_5y,Statsobligation 5 år,2.477,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
214,2026-06-13T20:30:40.263395,2026-04-08,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
463,2026-06-13T20:17:19.954442,2026-04-07,gov_bond_2y,Statsobligation 2 år,2.476,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
966,2026-06-13T20:30:40.558472,2026-04-07,gov_bond_5y,Statsobligation 5 år,2.658,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
213,2026-06-13T20:30:40.262233,2026-04-07,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
462,2026-06-13T20:17:19.953226,2026-04-02,gov_bond_2y,Statsobligation 2 år,2.474,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
965,2026-06-13T20:30:40.557355,2026-04-02,gov_bond_5y,Statsobligation 5 år,2.612,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
212,2026-06-13T20:30:40.261112,2026-04-02,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
461,2026-06-13T20:17:19.951993,2026-04-01,gov_bond_2y,Statsobligation 2 år,2.399,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
964,2026-06-13T20:30:40.556227,2026-04-01,gov_bond_5y,Statsobligation 5 år,2.582,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
211,2026-06-13T20:30:40.259989,2026-04-01,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
460,2026-06-13T20:17:19.950798,2026-03-31,gov_bond_2y,Statsobligation 2 år,2.401,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
963,2026-06-13T20:30:40.555033,2026-03-31,gov_bond_5y,Statsobligation 5 år,2.598,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
210,2026-06-13T20:30:40.258805,2026-03-31,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
459,2026-06-13T20:17:19.949629,2026-03-30,gov_bond_2y,Statsobligation 2 år,2.465,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
962,2026-06-13T20:30:40.553803,2026-03-30,gov_bond_5y,Statsobligation 5 år,2.64,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
209,2026-06-13T20:30:40.257649,2026-03-30,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
