id,collected_at,rate_date,bank,period_key,period_label,rate,source_url
63,2026-06-14T09:48:23.508062,2026-06-14,Länsförsäkringar,1_ar,1 år,3.59,https://www.finansportalen.se/bolan/
64,2026-06-14T09:48:23.509255,2026-06-14,Länsförsäkringar,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
62,2026-06-14T09:48:23.506853,2026-06-14,Länsförsäkringar,3_man,3 månader,3.99,https://www.finansportalen.se/bolan/
39,2026-06-14T09:48:23.478904,2026-06-14,SBAB,1_ar,1 år,3.47,https://www.finansportalen.se/bolan/
40,2026-06-14T09:48:23.480097,2026-06-14,SBAB,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
38,2026-06-14T09:48:23.477779,2026-06-14,SBAB,3_man,3 månader,3.15,https://www.finansportalen.se/bolan/
60,2026-06-14T09:48:23.504357,2026-06-14,SEB,1_ar,1 år,3.54,https://www.finansportalen.se/bolan/
61,2026-06-14T09:48:23.505608,2026-06-14,SEB,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
59,2026-06-14T09:48:23.503135,2026-06-14,SEB,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
30,2026-06-14T09:48:23.489587,2026-06-14,Skandia,1_ar,1 år,3.83,https://www.finansportalen.se/bolan/
